model,entity_type,precision,recall,f1,support
BiLSTM,ACCOUNTNAME,0.9745762711864406,0.9829059829059829,0.978723404255319,234
BiLSTM,ACCOUNTNUMBER,0.984251968503937,0.9881422924901185,0.9861932938856015,253
BiLSTM,AGE,0.893048128342246,0.9597701149425287,0.9252077562326871,174
BiLSTM,AMOUNT,0.9377593360995851,0.9535864978902954,0.9456066945606694,237
BiLSTM,BIC,0.8484848484848485,0.9824561403508771,0.9105691056910568,57
BiLSTM,BITCOINADDRESS,0.9090909090909091,0.9497206703910615,0.9289617486338797,179
BiLSTM,BUILDINGNUMBER,0.933920704845815,0.9380530973451328,0.93598233995585,226
BiLSTM,CCCD,0.9183673469387755,0.9712230215827338,0.9440559440559441,139
BiLSTM,CITY,0.9802955665024631,0.9754901960784313,0.9778869778869779,204
BiLSTM,COMPANYNAME,0.884393063583815,0.796875,0.8383561643835618,192
BiLSTM,COUNTY,0.9821428571428571,0.995475113122172,0.9887640449438202,221
BiLSTM,CREDITCARDCVV,0.9180327868852459,0.9333333333333333,0.9256198347107439,60
BiLSTM,CREDITCARDISSUER,0.9259259259259259,0.9345794392523364,0.9302325581395349,107
BiLSTM,CREDITCARDNUMBER,0.7055837563451777,0.8424242424242424,0.7679558011049723,165
BiLSTM,CURRENCY,0.8957055214723927,0.948051948051948,0.9211356466876971,154
BiLSTM,CURRENCYCODE,0.828125,0.8153846153846154,0.8217054263565892,65
BiLSTM,CURRENCYNAME,0.9696969696969697,0.9846153846153847,0.9770992366412214,65
BiLSTM,CURRENCYSYMBOL,0.9068627450980392,0.9390862944162437,0.9226932668329176,197
BiLSTM,DATE,0.7465564738292011,0.8138138138138138,0.7787356321839081,333
BiLSTM,DOB,0.6057142857142858,0.5955056179775281,0.6005665722379604,178
BiLSTM,EMAIL,0.9767441860465116,0.9932432432432432,0.9849246231155779,296
BiLSTM,ETHEREUMADDRESS,0.972972972972973,0.972972972972973,0.972972972972973,111
BiLSTM,EYECOLOR,1.0,1.0,1.0,64
BiLSTM,FIRSTNAME,0.9544554455445544,0.9296046287367405,0.9418661455788959,1037
BiLSTM,GENDER,0.975609756097561,0.9815950920245399,0.9785932721712537,163
BiLSTM,HEIGHT,0.9298245614035088,0.9814814814814815,0.954954954954955,54
